size,bold,italic,text_len,num_prefix,is_larger_than_common_font,text_case,is_bulleted,label
11,0,0,30,1,0,lower,0,P
11,0,0,81,1,0,lower,0,P
11,0,0,71,0,0,lower,0,P
11,0,0,85,1,0,lower,0,P
11,0,0,44,0,0,lower,0,P
11,0,0,65,1,0,lower,0,P
11,0,0,82,1,0,lower,0,P
11,0,0,20,0,0,lower,0,P
11,0,0,91,1,0,lower,0,P
11,0,0,9,0,0,lower,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
12,1,0,35,0,1,mixed,0,H2
11,0,0,100,0,0,sentence,0,P
11,0,0,98,0,0,mixed,0,P
11,0,0,75,0,0,mixed,0,P
11,0,0,88,0,0,sentence,0,P
11,0,0,88,0,0,sentence,0,P
11,0,0,23,0,0,sentence,0,P
11,0,0,24,0,0,sentence,0,P
11,0,0,38,0,0,sentence,0,P
11,0,0,66,0,0,mixed,0,P
11,0,0,80,0,0,mixed,0,P
11,0,0,22,0,0,lower,0,P
11,0,0,94,0,0,mixed,0,P
11,0,0,10,0,0,sentence,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
12,1,0,43,0,1,mixed,0,H2
10,1,0,26,0,0,mixed,0,H3
10,1,0,35,0,0,mixed,0,H3
10,1,0,96,0,0,mixed,0,H3
10,1,0,29,0,0,mixed,0,H3
10,0,0,104,0,0,mixed,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,102,0,0,sentence,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,92,0,0,lower,0,P
10,0,0,63,0,0,lower,0,P
10,1,0,40,0,0,mixed,0,H3
10,1,0,34,0,0,mixed,0,H3
10,1,0,93,0,0,mixed,0,H3
10,0,1,102,0,0,mixed,0,P
10,0,1,42,0,0,lower,0,P
10,1,0,44,0,0,mixed,0,H3
10,0,0,95,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,103,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
10,0,0,90,0,0,mixed,0,P
10,0,0,105,0,0,sentence,0,P
10,0,0,100,0,0,mixed,0,P
10,0,1,97,0,0,lower,0,P
10,0,1,100,0,0,mixed,0,P
10,0,0,101,0,0,mixed,0,P
10,0,0,104,0,0,sentence,0,P
10,0,0,98,0,0,mixed,0,P
10,0,0,67,0,0,lower,0,P
10,1,0,40,0,0,mixed,0,H3
10,1,0,24,0,0,mixed,0,H3
10,1,0,69,0,0,mixed,0,H3
10,1,0,52,0,0,mixed,0,H3
10,0,0,104,0,0,mixed,0,P
10,0,0,100,0,0,mixed,0,P
7.6,1,1,57,0,0,mixed,0,P
7.6,1,1,10,0,0,sentence,0,P
9,1,1,4,0,0,mixed,0,P
10,0,0,106,0,0,mixed,0,P
10,0,0,19,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,107,0,0,mixed,0,P
10,0,0,104,0,0,mixed,0,P
10,0,0,95,0,0,mixed,0,P
10,0,0,53,0,0,lower,0,P
10,0,0,99,0,0,sentence,0,P
10,0,0,92,0,0,mixed,0,P
10,0,0,99,0,0,mixed,0,P
10,0,0,95,0,0,mixed,0,P
10,0,0,102,0,0,mixed,0,P
10,0,0,61,0,0,mixed,0,P
10,0,0,2,1,0,mixed,0,P
10,0,0,64,0,0,mixed,0,P
10,0,0,2,1,0,mixed,0,P
10,0,0,80,0,0,lower,0,P
10,0,0,2,1,0,mixed,0,P
10,0,0,93,0,0,lower,0,P
10,0,0,22,0,0,lower,0,P
10,1,0,29,0,0,upper,0,H3
12,1,0,14,0,1,mixed,0,P
10,0,0,10,0,0,sentence,0,P
10,0,0,9,0,0,sentence,0,P
10,0,0,9,0,0,sentence,0,P
10,0,0,13,0,0,mixed,0,P
10,1,0,12,0,0,upper,0,P
12,1,0,4,0,1,mixed,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
10,0,0,10,0,0,upper,0,P
